HEIBERG Thomas 52-12 JACOBS Carol : F5F6E6F4F3D6C6D3G6E7G5D7C7H5C3H6E3B6C5D8C8B8A6B5G4D2E1C1F2H4A5E2F8B3F7G1H3H2G3A4C4B4C2B1A3A7A8E8B7B2A1A2D1G8H8G2G7H7F1H1
ILAGAN Rey 11-53 INOUE Hiroshi : F5F6E6F4E3C5C6D3C4F3E2C2D2E7G3C3G6G5G4D6C7D7F8E8B3H6C1B4A5A4F7D8B6B5A3A6A7C8H5H4G7H3B8E1D1F1F2B1B2H8H7G8H2H1B7A1A2G2G1A8
ILAGAN Rey 33-31 HEIBERG Thomas : F5D6C6F6E6B6F7G6H5F8E7F3D3F4E3C3G5E8A6C5B5C4G3H3C7G4D2C2E2E1F2H4H2H7B3A4A3A2B4F1C1D7D8C8D1B1H6H1G1G2A5G7A1A7A8B2B8B7G8H8
INOUE Hiroshi 34-30 HEIBERG Thomas : F5D6C3F3F4D3C4G6F6E6C5C6D7D8E7G5E3D2G4H3F7B5H5G3B4B6C8B8C7E8F8G8H4H6E2D1C1A3A6A5E1F2G7C2A4H8A2B7F1B3B1B2H7A7A8A1G1G2H2H1
INOUE Hiroshi 45-19 HEIBERG Thomas : F5D6C5F4E3C6E6F3D3F6G4C4B4A3B5E2D2H4C7B3C3A6D7D1C1C2E7B6E1F1G1F2B1C8A5A4D8E8B7A8B8B2A1A2G5H5G3H3A7G2H1H2H6G6H7G7G8H8F8F7
JACOBS Carol 12-52 INOUE Hiroshi : F5F6E6F4C3D7F7C4C5C6C8B4C7B5A5E7B3D6F8B6D3E3A6D2D1A4A3E2G6C1C2E1G3D8E8F3F1G1F2B7A8A7G2B8H1G4H4H5G5H2H3H6G7H7H8B2B1G8A1A2
JACOBS Carol 40-24 ILAGAN Rey : F5F6E6F4C3D6G5G4E3G6H5F3H4C6C5D3C4B6B5B3B4A6A5A4D7G3A2C2H3C7C1D8F7E7F8D2B8H7H2G7H8G8H6C8D1E2E1F1F2B1B2G2A7B7A3A1E8G1A8H1
JACOBS Carol 8-56 ILAGAN Rey : F5F4F3F6D6G4H3E6G3F2E1H5G5G6E2H6D7H4H7E7F8C8F7D8C7B6E3F1G1C5C6E8A6G8D3C2B5A4B4A3D2C4B1A5A7B7A2G2C3B3B2A1C1D1B8A8H2H1G7H8
WOCH Alan 17-47 INOUE Hiroshi : F5F6E6F4F3C5G6E3D3G5B6C4C3D6H6G4H3D2E2H5H4C2E1D1C1B3E7C6G3D7C8F1F2B1B4A5C7B5A6F8A4A3A2D8E8B8B2G1G2A1B7A7A8F7G8H1G7H2H7H8
WOCH Alan 10-54 HEIBERG Thomas : F5D6C6F6E6F4C3C4C5E7F3D3F7G5F8E3D2C1E1B4H6H4A4C2E2B5G6D8H5H7G4A3A2F1D1B3E8G8D7B6A5C8C7B2B1A1G7H8A6B7F2G3H3H2H1G1G2A8A7B8
WOCH Alan 16-48 JACOBS Carol : F5F6E6F4C3D6F3C5F7G5H6F8E7G6B6E8C6H4G4E3D7C4D2A6C7H3D3D8H5C8H2G3F2F1E1B5E2D1C1B1C2G1A5A4B3B4B7A3B2A1A2B8A8A7G8G7G2H1H7
WOCH Alan 37-27 ILAGAN Rey : F5F6E6F4F3D3C3C6D6C5E3C4C7B3B5B4A3A5G4E2A4A2F1C8F7F2D2D7E8D1E1G1E7C2B1H3H5G3G5B6D8F8G6H7G2H1H2C1A7A1B8H4H6A6G8A8H8G7B7B2
